Class,Card,Level,Initiative
Quartermaster,Reinforced Steel,5,12
Quartermaster,Quiver of Arrows,6,31
Quartermaster,Catastrophic Bomb,6,46
Quartermaster,Refreshment,7,89
Quartermaster,Scroll of Blizzards,7,46
Quartermaster,Fortified Position,8,10
Quartermaster,Portable Ballista,8,41
Quartermaster,Scroll of Annihilation,9,56
Quartermaster,Bag of Holding,9,91
Sunkeeper,Defensive Stance,1,65
Sunkeeper,Glorious Bolt,1,39
Sunkeeper,Beacon of Light,1,36
Sunkeeper,Daybreak,1,85
Sunkeeper,Purifying Aura,1,21
Sunkeeper,Lay on Hands,1,90
Sunkeeper,Holy Strike,1,85
Sunkeeper,Brilliant Prayer,1,27
Sunkeeper,Empowering Command,1,32
Sunkeeper,Cautious Advance,1,23
Sunkeeper,Protective Blessing,1,61
Sunkeeper,Hammer Blow,1,55
Sunkeeper,Tactical Order,1,29
Sunkeeper,Dazzling Charge,1,57
Sunkeeper,Unwavering Mandate,2,72
Sunkeeper,Practical Plans,2,56
Sunkeeper,Mobilizing Axiom,3,23
Sunkeeper,Burning Flash,3,51
Sunkeeper,Righteous Stength,4,18
Sunkeeper,Engulfing Radiance,4,20
Sunkeeper,Path of Glory,5,48
Sunkeeper,Scales of Justice,5,68
Sunkeeper,Illuminate the Target,6,91
Sunkeeper,Supportive Chant,6,11
Sunkeeper,Weapon of Purity,7,73
Sunkeeper,Bright Aegis,7,14
Sunkeeper,Inspiring Sanctity,8,79
Sunkeeper,Cleansing Force,8,25
Sunkeeper,Divine Intervention,9,9
Sunkeeper,Angelic Ascension,9,87
Plagueherald,Grasping Vermin,1,69
Plagueherald,Biting Gnats,1,47
Plagueherald,Spread the Plague,1,27
Plagueherald,Epidemic,1,43
Plagueherald,Vile Pestilence,1,61
Plagueherald,Scattered Terror,1,11
Plagueherald,Foul Wind,1,35
Plagueherald,Blistering Vortex,1,21
Plagueherald,Paralyzing Bite,1,31
Plagueherald,Wretched Swarm,1,84
Plagueherald,Creeping Curse,1,72
Plagueherald,Gathering Doom,1,76
Plagueherald,Virulent Strain,1,50
Plagueherald,Winged Congregation,1,16
Plagueherald,Rot Maggots,2,69
Plagueherald,Under the Strain,2,59
Plagueherald,Fetid Flurry,3,26
Plagueherald,Succumb to the Gift,3,70
Plagueherald,Storm of Wings,4,91
Plagueherald,Nightmarish Affliction,4,43
Plagueherald,Willing Sacrifice,5,84
Plagueherald,Accelerated End,5,62
Plagueherald,Stinging Cloud,6,66
Plagueherald,Black Tides,6,37
Plagueherald,Baneful Hex,7,33
Plagueherald,Airborne Toxin,7,57
Plagueherald,Spreading Scourge,8,71
Plagueherald,Grim Bargain,8,46
Plagueherald,Mass Extinction,9,94
Plagueherald,Convert the Flock,9,29
Beast Tyrant,Spirit Swap,1,22
Beast Tyrant,Maul,1,14
Beast Tyrant,Focused Aggression,1,31
Beast Tyrant,Howling Bolts,1,47
Beast Tyrant,Borrowed Essence,1,56
Beast Tyrant,Relentless Ally,1,81
Beast Tyrant,Venemous Ally,1,79
Beast Tyrant,Disappearing Wounds,1,23
Beast Tyrant,Soaring Ally,1,77
Beast Tyrant,Concentrated Rage,1,51
Beast Tyrant,Disorienting Roar,1,17
Beast Tyrant,Patch Fur,1,20
Beast Tyrant,Forceful Swipe,1,35
Beast Tyrant,Energizing Strike,2,29
Beast Tyrant,Earthen Spikes,2,11
Beast Tyrant,Vicious Ally,3,86
Beast Tyrant,Unstoppable Beast,3,32
Beast Tyrant,Punch Through,4,44
Beast Tyrant,Ancient Ward,4,19
Beast Tyrant,Stone Sigil,5,95
Beast Tyrant,Rampage,5,34
Beast Tyrant,Primal Blessing,6,28
Beast Tyrant,Blood Hunger,6,42
Beast Tyrant,Storm Sigil,7,93
Beast Tyrant,Tyrannical Force,7,37
Beast Tyrant,Lash Out,8,18
Beast Tyrant,Natural Remedy,8,25
Beast Tyrant,Jaws of Death,9,48
Beast Tyrant,Tribal Sigil,9,91
Doomstalker,Felling Swoop,1,75
Doomstalker,Foot Snare,1,61
Doomstalker,Frightening Curse,1,37
Doomstalker,Crippling Noose,1,57
Doomstalker,Solid Bow,1,31
Doomstalker,Race to the Grave,1,9
Doomstalker,A Moment's Peace,1,88
Doomstalker,Multi-Pronged Assault,1,14
Doomstalker,Sap Life,1,14
Doomstalker,Detonation,1,54
Doomstalker,Rain of Arrows,1,33
Doomstalker,The Hunt Begins,1,71
Doomstalker,Swift Trickery,1,11
Doomstalker,Vital Charge,1,78
Doomstalker,Fresh Kill,1,65
Doomstalker,Expose,2,13
Doomstalker,Relentless Offensive,2,52
Doomstalker,Press the Attack,3,10
Doomstalker,Darkened Skies,3,25
Doomstalker,Flight of Flame,4,53
Doomstalker,Singular Focus,4,28
Doomstalker,Inescapable Fate,5,97
Doomstalker,Wild Command,5,46
Doomstalker,Camouflage,6,23
Doomstalker,Nature's Hunger,6,82
Doomstalker,Crashing Wave,7,22
Doomstalker,Impending End,7,47
Doomstalker,Rising Momentum,8,12
Doomstalker,Feral Instincts,8,35
Doomstalker,Predator and Prey,9,86
Doomstalker,Lead to Slaughter,9,40
Elementalist,Formless Power,1,45
Elementalist,Raw Enhancement,1,48
Elementalist,Ice Spikes,1,40
Elementalist,Pure Augmentation,1,48
Elementalist,Shaping the Ether,1,54
Elementalist,Infernal Vortex,1,17
Elementalist,Lava Eruption,1,19
Elementalist,Stoking Hail,1,28
Elementalist,Tremulant Cyclone,1,26
Elementalist,Frigid Torrent,1,35
Elementalist,Malleable Evocation,1,50
Elementalist,Brilliant Flash,1,67
Elementalist,Encompassing Shadow,1,23
Elementalist,Boiling Arc,2,47
Elementalist,Crystallizing Blast,2,67
Elementalist,Chain Lightning,3,41
Elementalist,Burial,3,65
Elementalist,Primal Duality,4,15
Elementalist,Gravel Vortex,4,62
Elementalist,Obsidian Shards,5,36
Elementalist,Winter's Edge,5,43
Elementalist,Simulacrum,6,94
Elementalist,Eye of the Hurricane,6,29
Elementalist,Pragmatic Reinforcement,7,56
Elementalist,Vengeance,7,33
Elementalist,Elemental Aegis,8,14
Elementalist,Volatile Consumption,8,64
Elementalist,Ethereal Manifestation,9,98
Elementalist,Eternal Equilibrium,9,27
